#name,x,y
LSR0,489,376
LSR1,999,983
LSR2,362,787
LSR3,890,698
LSR4,677,381
LSR5,360,282
LSR6,320,657
LSR7,476,439
LSR8,853,581
LSR9,670,237
LSR10,222,284
LSR11,531,437
LSR12,588,466
LSR13,348,152
LSR14,584,357
LSR15,905,32
LSR16,857,479
LSR17,25,866
LSR18,373,394
LSR19,488,651
LSR20,185,838
LSR21,453,748
LSR22,595,662
LSR23,647,542
LSR24,643,58
LSR25,686,999
LSR26,413,502
LSR27,766,518
LSR28,696,837
LSR29,104,950
LSR30,995,778
LSR31,763,109
LSR32,544,535
LSR33,757,563
LSR34,884,379
LSR35,767,675
LSR36,544,603


